Table,AP Delivery Zone ID,Lodgement Zone,Lodgement Zone State,To Postcode,Destination Zone Code,Destination Zone State,Description,Postcode Delivery Zone,State Classification,State Area,Postcode Delivery Zone Description
Delivery_Zone,DZ0001,V0,VIC,2610,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2611,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2612,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2613,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2614,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2615,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2616,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2617,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2618,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2619,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2620,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2900,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2901,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2902,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2903,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2904,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2905,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2906,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2907,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2908,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2909,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2910,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2911,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2912,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2913,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2914,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2915,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2916,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2917,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2918,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2919,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,2920,CB,ACT,CB - Canberra,V0CB,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4210,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4211,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4212,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4213,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4214,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4215,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4216,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4217,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4218,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4219,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4220,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4221,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4222,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4223,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4224,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4226,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4227,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4228,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4229,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4230,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4231,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4232,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4233,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4234,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4235,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4236,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4237,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4238,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4239,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4240,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4241,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4242,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4243,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4244,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4245,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4246,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
Delivery_Zone,DZ0001,V0,VIC,4247,GC,QLD,GC - Gold Coast,V0GC,Near State,Metro,Near State Metro
